,Alt,HCl,Cl2,Cl
0,0.00000,0.92823,0.07078,0.00098
1,1.00000,0.92749,0.07137,0.00114
2,2.00000,0.92519,0.07314,0.00167
3,3.00000,0.92287,0.07493,0.00220
4,4.00000,0.92050,0.07676,0.00274
5,5.00000,0.91809,0.07864,0.00327
6,6.00000,0.91561,0.08059,0.00381
7,7.00000,0.90735,0.08676,0.00589
8,8.00000,0.89904,0.09299,0.00798
9,9.00000,0.89061,0.09932,0.01006
10,10.00000,0.88202,0.10582,0.01216
11,11.00000,0.86609,0.11843,0.01549
12,12.00000,0.84999,0.13119,0.01882
13,13.00000,0.83355,0.14425,0.02220
14,14.00000,0.81660,0.15776,0.02564
15,15.00000,0.79892,0.17189,0.02919
16,16.00000,0.77287,0.19935,0.02777
17,17.00000,0.74602,0.22753,0.02645
18,18.00000,0.71818,0.25664,0.02519
19,19.00000,0.68475,0.29374,0.02151
20,20.00000,0.65058,0.33156,0.01785
21,21.00000,0.61797,0.35566,0.02636
22,22.00000,0.58493,0.38007,0.03500
23,23.00000,0.55194,0.40434,0.04372
24,24.00000,0.51955,0.42801,0.05243
25,25.00000,0.48835,0.45060,0.06105
26,26.00000,0.45883,0.47170,0.06947
27,27.00000,0.43139,0.49102,0.07759
28,28.00000,0.40628,0.50840,0.08533
29,29.00000,0.38356,0.52380,0.09264
30,30.00000,0.36321,0.53729,0.09949
31,31.00000,0.35371,0.53258,0.11371
32,32.00000,0.34552,0.52661,0.12787
33,33.00000,0.33851,0.51957,0.14192
34,34.00000,0.33250,0.51167,0.15583
35,35.00000,0.32736,0.50306,0.16958
36,36.00000,0.32294,0.49390,0.18316
37,37.00000,0.31912,0.48432,0.19656
38,38.00000,0.31579,0.47443,0.20978
39,39.00000,0.31287,0.46430,0.22283
40,40.00000,0.31027,0.45401,0.23572
41,41.00000,0.30931,0.45464,0.23604
42,42.00000,0.30855,0.45514,0.23630
43,43.00000,0.30795,0.45554,0.23651
44,44.00000,0.30748,0.45585,0.23667
45,45.00000,0.30710,0.45610,0.23680
46,46.00000,0.30680,0.45630,0.23690
47,47.00000,0.30656,0.45645,0.23698
48,48.00000,0.30638,0.45658,0.23705
49,49.00000,0.30623,0.45667,0.23710
50,50.00000,0.30611,0.45675,0.23714
51,51.00000,0.30602,0.45681,0.23717
52,52.00000,0.30595,0.45686,0.23719
53,53.00000,0.30589,0.45690,0.23721
54,54.00000,0.30585,0.45693,0.23723
55,55.00000,0.30581,0.45695,0.23724
56,56.00000,0.30578,0.45697,0.23725
57,57.00000,0.30576,0.45698,0.23726
58,58.00000,0.30574,0.45699,0.23726
59,59.00000,0.30573,0.45700,0.23727
60,60.00000,0.30572,0.45701,0.23727
61,61.00000,0.30571,0.45702,0.23727
62,62.00000,0.30570,0.45702,0.23728
63,63.00000,0.30570,0.45702,0.23728
64,64.00000,0.30569,0.45703,0.23728
65,65.00000,0.30569,0.45703,0.23728
66,66.00000,0.30569,0.45703,0.23728
67,67.00000,0.30569,0.45703,0.23728
68,68.00000,0.30568,0.45703,0.23728
69,69.00000,0.30568,0.45703,0.23728
70,70.00000,0.30568,0.45703,0.23728
71,71.00000,0.30568,0.45703,0.23728
72,72.00000,0.30568,0.45703,0.23728
73,73.00000,0.30568,0.45704,0.23728
74,74.00000,0.30568,0.45704,0.23728
75,75.00000,0.30568,0.45704,0.23728
76,76.00000,0.30568,0.45704,0.23728
77,77.00000,0.30568,0.45704,0.23729
78,78.00000,0.30568,0.45704,0.23729
79,79.00000,0.30568,0.45704,0.23729
80,80.00000,0.30568,0.45704,0.23729
